seq,coupon_spec_seq,user_seq,issued_at,used_at,expires_at
1229,1,73568307,2025-06-10 15:42:57.289000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1230,1,73568405,2025-06-10 15:45:42.749000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1231,1,73568465,2025-06-10 15:47:23.133000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1232,1,73568525,2025-06-10 15:48:51.599000 +00:00,2025-06-10 15:58:21.029000 +00:00,2025-06-18 14:59:59.000000 +00:00
1233,1,73568559,2025-06-10 15:49:42.225000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1234,1,73568571,2025-06-10 15:50:04.629000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1235,1,73568619,2025-06-10 15:51:11.021000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1236,1,73568641,2025-06-10 15:51:38.221000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1237,1,73568651,2025-06-10 15:51:44.433000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1238,1,73568667,2025-06-10 15:51:59.957000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1239,1,73568689,2025-06-10 15:52:44.567000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1240,1,73568737,2025-06-10 15:54:37.633000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1241,1,73568815,2025-06-10 15:56:46.802000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1242,1,73568827,2025-06-10 15:56:55.776000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1243,1,73568897,2025-06-10 15:59:45.054000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1244,1,73568903,2025-06-10 16:00:12.503000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1245,1,73568909,2025-06-10 16:00:22.390000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1246,1,73568917,2025-06-10 16:00:47.040000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1247,1,73569023,2025-06-10 16:03:25.482000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1248,1,73569069,2025-06-10 16:04:28.264000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1249,1,73569139,2025-06-10 16:06:27.264000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1250,1,73569151,2025-06-10 16:06:41.530000 +00:00,2025-06-10 16:09:16.443000 +00:00,2025-06-18 14:59:59.000000 +00:00
1251,1,73569163,2025-06-10 16:06:59.579000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1252,1,73569175,2025-06-10 16:07:04.128000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1253,1,73569187,2025-06-10 16:07:26.328000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1254,1,73569193,2025-06-10 16:07:37.728000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1255,1,73569225,2025-06-10 16:08:37.271000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1256,1,73569253,2025-06-10 16:09:33.976000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1257,1,73569295,2025-06-10 16:10:24.637000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1258,1,73569301,2025-06-10 16:10:31.113000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1259,1,73569337,2025-06-10 16:11:18.075000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1260,1,73569345,2025-06-10 16:11:29.985000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1261,1,73569349,2025-06-10 16:11:32.663000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1262,1,73569395,2025-06-10 16:12:54.516000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1263,1,73569431,2025-06-10 16:14:03.934000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1264,1,73569465,2025-06-10 16:15:05.044000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1265,1,73569497,2025-06-10 16:15:44.236000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1266,1,73569611,2025-06-10 16:19:25.003000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1267,1,73569697,2025-06-10 16:22:28.145000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1268,1,73569709,2025-06-10 16:23:00.302000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1269,1,73569743,2025-06-10 16:24:11.339000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1270,1,73569789,2025-06-10 16:25:55.717000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1271,1,73569843,2025-06-10 16:27:53.480000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1272,1,73569863,2025-06-10 16:28:46.040000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1273,1,73569927,2025-06-10 16:31:05.167000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1274,1,73569933,2025-06-10 16:31:16.471000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1275,1,73569953,2025-06-10 16:31:50.043000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1276,1,73569959,2025-06-10 16:32:17.313000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1277,1,73569969,2025-06-10 16:33:02.715000 +00:00,2025-06-10 16:37:31.344000 +00:00,2025-06-18 14:59:59.000000 +00:00
1278,1,73569977,2025-06-10 16:33:11.655000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1279,1,73570047,2025-06-10 16:35:43.209000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1280,1,73570091,2025-06-10 16:37:40.907000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1281,1,73570117,2025-06-10 16:38:15.981000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1282,1,73570123,2025-06-10 16:38:26.534000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1283,1,73570223,2025-06-10 16:41:44.898000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1284,1,73570257,2025-06-10 16:43:34.719000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1285,1,73570277,2025-06-10 16:44:50.739000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1286,1,73570291,2025-06-10 16:45:31.146000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1287,1,73570321,2025-06-10 16:46:35.014000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1288,1,73570327,2025-06-10 16:46:39.823000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1289,1,73570339,2025-06-10 16:47:06.704000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1290,1,73570385,2025-06-10 16:48:36.170000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1291,1,73570427,2025-06-10 16:49:39.389000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1292,1,73570479,2025-06-10 16:52:08.134000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1293,1,73570659,2025-06-10 16:58:10.443000 +00:00,2025-06-10 17:01:24.057000 +00:00,2025-06-18 14:59:59.000000 +00:00
1294,1,73570677,2025-06-10 16:59:37.770000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1295,1,73570691,2025-06-10 17:00:15.237000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1296,1,73570747,2025-06-10 17:01:43.221000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1297,1,73570761,2025-06-10 17:02:28.731000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1298,1,73570771,2025-06-10 17:02:56.068000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1299,1,73570845,2025-06-10 17:05:50.444000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1300,1,73570857,2025-06-10 17:06:20.873000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1301,1,73570705,2025-06-10 17:06:47.952000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1302,1,73570935,2025-06-10 17:09:20.785000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1303,1,73570943,2025-06-10 17:09:37.292000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1304,1,73570989,2025-06-10 17:10:47.794000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1305,1,73571069,2025-06-10 17:14:20.829000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1306,1,73571139,2025-06-10 17:16:02.180000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1307,1,73571151,2025-06-10 17:16:41.395000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1308,1,73571171,2025-06-10 17:17:48.640000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1309,1,73571229,2025-06-10 17:19:40.917000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1310,1,73571243,2025-06-10 17:20:21.760000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1311,1,73571249,2025-06-10 17:20:30.443000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1312,1,73571253,2025-06-10 17:20:53.485000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1313,1,73571263,2025-06-10 17:21:22.111000 +00:00,2025-06-10 17:26:01.744000 +00:00,2025-06-18 14:59:59.000000 +00:00
1314,1,73571295,2025-06-10 17:22:13.376000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1315,1,73571353,2025-06-10 17:27:09.949000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1316,1,73571359,2025-06-10 17:27:31.074000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1317,1,73571387,2025-06-10 17:28:30.053000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1318,1,73571491,2025-06-10 17:33:21.299000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1319,1,73571567,2025-06-10 17:37:38.259000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1320,1,73571589,2025-06-10 17:41:54.381000 +00:00,2025-06-10 17:47:47.810000 +00:00,2025-06-18 14:59:59.000000 +00:00
1321,1,73571641,2025-06-10 17:42:24.105000 +00:00,2025-06-10 17:44:30.433000 +00:00,2025-06-18 14:59:59.000000 +00:00
1322,1,73571677,2025-06-10 17:45:17.133000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1323,1,73571681,2025-06-10 17:45:58.631000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1324,1,73571683,2025-06-10 17:46:12.359000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1325,1,73571695,2025-06-10 17:47:03.006000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1326,1,73571709,2025-06-10 17:47:41.749000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1327,1,73571711,2025-06-10 17:48:07.859000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1328,1,73571769,2025-06-10 17:50:47.499000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1329,1,73571771,2025-06-10 17:50:51.221000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1330,1,73571789,2025-06-10 17:52:37.350000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1331,1,73571809,2025-06-10 17:53:44.209000 +00:00,,2025-06-18 14:59:59.000000 +00:00
