스킬ID,스킬
33556,2024년 신년운세 보고서
2166,그 사람과 나의 사주 궁합
22723,2023년 신년운세 보고서
21964,내 사주에 연애 상대 몇 명 있을까?
28894,재회 사주: 그 사람과 다시 만날 운명일까?
43513,2025 을사년 운세: 사랑과 인연
22360,사주로 보는 내 결혼 상대는?
36509,2024 갑진년 운세: 사랑과 인연
18570,내 인생 언제 필까?: 3번의 기회🔑
19192,타고난 결혼운 + 내 운명의 상대
23878,내 운명 지금 어디 있을까?
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?
43216,2025년 신년운세 보고서
26805,그 사람과 나의 3가지 사주궁합
453,내 인생 황금기와 암흑기: 사주팔자 풀이
50312,2025 을사년 하반기 애정운
16477,2022년 신년운세 보고서
26502,사주로 보는 결혼수: 나는 언제 결혼할까?
49255,내 팔자에 새겨진 천년배필
21040,타고난 부(富): 재물운과 평생 모을 재산은?
25978,D-DAY 재회 타로: 다시 만날 수 있을까?
30875,내 사주 배우자 궁(宮)에 있는 사람은?
20974,타고난 부(富): 내 사주 재물운과 평생 모을 재산은?
2328,내 운명의 상대
42952,내 사주에 쓰인 운명의 배우자
33646,2024년 솔로 탈출 시기
43117,내 사주의 사랑운: 연애만? 결혼까지!
31435,지금 날 간절히 원하는 사람 누구일까?
41402,2024 갑진년 하반기 애정운
2418,사주로 보는 내 타고난 결혼운
16483,사주 살풀이: 타고난 살과 2022년의 살
23706,2023년 솔로 탈출 시기
27178,내 사주의 배우자 궁에 있는 사람은?
28729,내 운이 트이는 동네는?(서울편)
21799,월지로 보는 인연: 배우자가 될 3명의 후보
22162,놓치면 후회할 인연因緣의 외모와 특징
43686,"[창광] 신년운세 통합본 ""2025년 을사년"""
22690,일생 풀이: 천운과 타고난 복(福)
27220,2023년 하반기 솔로 탈출 시기
24082,내 아이는 출세할 사주일까?
26182,인생 역전의 비밀: 내 사주에 주목할 운명은?
24509,내 사주의 연애와 결혼: 운명의 두 사람
2141,그 사람의 속마음
25297,사주로 보는 그 사람의 속마음
43683,[창광] 25년 을사년 사랑운과 인연운
24175,도화살 풀이: 내 매력 언제 터질까?
37705,재회 vs 작별: 운명에 새겨진 우리의 엔딩
22164,사업운 vs 직장운: 경제적 자유 누리는 법
49816,재회 사주: 헤어져도 다시 만날 필연
27723,2023년 하반기 운세 보고서
24572,"{{이름}}[[이의/의]] 운명의 인연, 언제 만날까?"
22756,사주 살풀이: 타고난 살과 2023년의 살
