스킬ID,스킬,Target Scope,Target Tags
39091,재회 타로 : 그 사람의 첫 연락,LOVE_SINGLE,"LOVE_MATCH, LOVE_REUNION"
23086,D-DAY 타로: 솔로 탈출까지 며칠 남았을까?,LOVE_SINGLE,LOVE_NEW
47935,재회OX궁합: 붙잡을 운명 vs 놓아줄 인연,LOVE_SINGLE,"LOVE_MATCH, LOVE_REUNION"
18270,그 사람 아직 나한테 미련 있을까?,LOVE_SINGLE,"LOVE_MATCH, LOVE_REUNION"
55360,2026년 신년운세 보고서,ALL,"NEW_YEAR, OVERALL"
41368,2024년 하반기 운세 보고서,ALL,"NEW_YEAR, OVERALL"
41764,[창광] 24년 하반기 사랑운과 인연운,"LOVE_SINGLE, LOVE_COUPLE","LOVE_GENERAL, NEW_YEAR"
40510,2024년 하반기 솔로 탈출 시기,LOVE_SINGLE,"LOVE_NEW, NEW_YEAR"
18933,인생 피는 필승 사주 : 내 인생 언제 필까? + 필승 개운법 일주 풀이,ALL,OVERALL
16426,좋아하는 그 사람의 속마음은?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
22064,내 사주의 악인(惡人): 싹을 잘라야 할 불행의 근원,"LOVE_SINGLE, LOVE_COUPLE",OVERALL
21766,그 사람과 나의 결혼 궁합,"LOVE_SINGLE, LOVE_COUPLE","LOVE_MARRIAGE, LOVE_MATCH, LOVE_NEW"
44899,임신 타로: 이번 달 우리 아기 찾아올까?,LOVE_COUPLE,FAMILY
44108,2025년에 찾아올 두 명의 인연,"LOVE_SINGLE, LOVE_COUPLE","LOVE_GENERAL, NEW_YEAR"
55723,2026년 솔로 탈출 시기,LOVE_SINGLE,"LOVE_NEW, NEW_YEAR"
47506,"재회 사주, 속마음 타로: {{이름}}님은 n일 뒤 재회합니다",LOVE_SINGLE,"LOVE_MATCH, LOVE_REUNION"
32425,2024년 놓치면 안 될 3번의 기회,ALL,NEW_YEAR
32365,사주 살풀이: 타고난 살과 2024년의 살,ALL,NEW_YEAR
45097,헤어진 X와 재회할 수 있을까?,LOVE_SINGLE,LOVE_REUNION
2505,지금 날 좋아하는 사람은?,"LOVE_SINGLE, LOVE_COUPLE",
36617,2024년 갑진년 운세 [통합편],ALL,"NEW_YEAR, OVERALL"
48332,🪡6개월 내 반드시 만나게 될: 붉은 실 인연🧶,"LOVE_SINGLE, LOVE_COUPLE",LOVE_NEW
26214,그 사람도 날 좋아할까?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
35701,2024년에 찾아올 두 명의 인연,"LOVE_SINGLE, LOVE_COUPLE","LOVE_GENERAL, NEW_YEAR"
2326,그 사람과 나의 속궁합,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
50014,2025년 하반기 운세 보고서,ALL,"NEW_YEAR, OVERALL"
51301,사주+타로: 임신운 심층 분석,LOVE_COUPLE,FAMILY
43685,[창광] 25년 을사년 직업운과 합격운,ALL,"CAREER, NEW_YEAR"
18142,"다음 연애 언제, 어디서 시작될까?","LOVE_SINGLE, LOVE_COUPLE",LOVE_NEW
400,다시 만날 수 있을까,LOVE_SINGLE,LOVE_REUNION
24008,절대 놓치면 안 될 결혼 상대와 시기는?,"LOVE_SINGLE, LOVE_COUPLE","LOVE_MARRIAGE, LOVE_NEW"
42660,"우리 커플 삼단궁합 : 연애궁합, 속궁합, 결혼궁합","LOVE_SINGLE, LOVE_COUPLE","LOVE_MARRIAGE, LOVE_MATCH"
51565,2025년 하반기 솔로 탈출 시기,LOVE_SINGLE,"LOVE_NEW, NEW_YEAR"
30940,이 사랑의 결말: 그 사람과 나의 인연,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
34075,"불안한 사랑, 우리 관계의 미래는?","LOVE_SINGLE, LOVE_COUPLE","LOVE_CRISIS, LOVE_MATCH"
24870,내 운명의 인연 + 도화살 풀이,"LOVE_SINGLE, LOVE_COUPLE",LOVE_NEW
16717,인생 피는 필승 개운법: 일주 풀이,ALL,OVERALL
24475,팔자가 바뀌는 6번의 기회,ALL,
39852,"내 운명의 연애, 몇 번 남았을까?","LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
43684,[창광] 25년 을사년 재물운과 문서운,ALL,"NEW_YEAR, WEALTH"
18664,내 사주는 부자 사주 vs 가난한 사주,ALL,WEALTH
42029,[창광] 24년 하반기 재물운과 문서운,ALL,"NEW_YEAR, WEALTH"
16377,3개월 안에 다시 만날 수 있을까?,LOVE_SINGLE,LOVE_REUNION
36510,2024 갑진년 운세: 합격과 커리어,ALL,"CAREER, NEW_YEAR"
31336,인생 역전의 비밀: 내 사주의 주목할 운명(運命)은?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
43249,"사주 직업 컨설팅: 사업, 직장, 업종",ALL,CAREER
18631,3개월 안에 애인 생길까?,LOVE_SINGLE,LOVE_NEW
39421,나는 결혼해야 좋은 팔자일까?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MARRIAGE
19005,(임시)2022년 하반기 운세 보고서,ALL,"NEW_YEAR, OVERALL"
26009,"내 사주로 월 1,000만 원 버는 부업은?","LOVE_SINGLE, LOVE_COUPLE",OVERALL
42031,[창광] 24년 하반기 운세 통합본,"LOVE_SINGLE, LOVE_COUPLE","NEW_YEAR, OVERALL"
23089,연봉 상승 비책: 올해 취업•이직운,ALL,CAREER
21371,2022년 하반기 운세 보고서,ALL,"NEW_YEAR, OVERALL"
49519,임신운 풀이: 삼신할매가 점지한 우리 아가,LOVE_COUPLE,FAMILY
48892,🩵하늘이 맺어준 혼인길 점괘🩵,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MARRIAGE
42062,사주 살풀이: 타고난 살과 2025년의 살,ALL,NEW_YEAR
22195,사주로 보는 미래: 나는 언제 출세할까?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_NEW
20546,나에게 남은 연애 기회는?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
20017,반드시 잡아야 할 내 인생의 귀인은?,"LOVE_SINGLE, LOVE_COUPLE",OVERALL
19002,이별리셋 패키지: 전애인 후폭풍 + 재회운,LOVE_SINGLE,LOVE_REUNION
22426,내 인생의 귀인 + 피해야 할 악인은?,"LOVE_SINGLE, LOVE_COUPLE",OVERALL
30677,내 운명의 숨겨진 방향성,"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
